epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
12,126.955,0.95196,0.61194,0.9922,1.42192,0.000992562,0.000992562,0.000992562
13,136.591,0.92751,0.61454,0.97054,1.43032,0.000991152,0.000991152,0.000991152
14,146.3,0.90981,0.54739,0.99766,1.4541,0.000989622,0.000989622,0.000989622
15,156.05,0.88355,0.63715,0.99679,1.05206,0.00098797,0.00098797,0.00098797
16,165.68,0.8677,0.65361,0.99575,1.29093,0.000986199,0.000986199,0.000986199
17,175.51,0.85036,0.6751,0.99896,1.11965,0.000984307,0.000984307,0.000984307
18,185.339,0.84208,0.67909,0.99844,1.31254,0.000982296,0.000982296,0.000982296
19,195.185,0.81953,0.65335,0.99489,1.2801,0.000980167,0.000980167,0.000980167
20,205.104,0.8146,0.67172,0.9987,1.0822,0.000977919,0.000977919,0.000977919
21,214.991,0.80013,0.67328,0.99792,1.50191,0.000975553,0.000975553,0.000975553
22,224.599,0.7882,0.68073,0.99471,1.47495,0.00097307,0.00097307,0.00097307
23,234.583,0.77562,0.68558,0.99896,1.25641,0.00097047,0.00097047,0.00097047
24,244.447,0.77385,0.70343,0.99853,1.26635,0.000967754,0.000967754,0.000967754
25,254.377,0.75811,0.67649,0.99575,1.24168,0.000964923,0.000964923,0.000964923
26,264.413,0.75416,0.66505,0.99792,1.40222,0.000961978,0.000961978,0.000961978
27,274.194,0.74612,0.69451,0.99229,1.45096,0.000958918,0.000958918,0.000958918
28,283.981,0.73276,0.68593,0.99809,1.2742,0.000955746,0.000955746,0.000955746
29,293.839,0.72193,0.69945,0.99558,1.37545,0.000952461,0.000952461,0.000952461
30,303.789,0.72157,0.70118,0.99679,1.26996,0.000949065,0.000949065,0.000949065
31,313.33,0.71098,0.69459,0.99601,1.2732,0.000945558,0.000945558,0.000945558
32,322.841,0.70044,0.70993,0.99619,1.25144,0.000941941,0.000941941,0.000941941
33,332.637,0.69602,0.72206,0.99705,1.34842,0.000938215,0.000938215,0.000938215
34,342.431,0.70833,0.68801,0.99861,1.30753,0.000934381,0.000934381,0.000934381
